time_period,time_identifier,geographic_level,country_code,country_name,version,establishment_type,establishment_type_group,characteristic_sex,number_of_students,aps_per_entry,aps_per_entry_2013_2015,aps_per_entry_grade,aps_per_entry_grade_2013_2015,year_2013_2015,year
202021,Academic year,National,E92000001,England,Final,All FE sector colleges,All FE sector colleges,Female,32133,39.5956,NA,B, ,NA,2021
202021,Academic year,National,E92000001,England,Final,All independent schools,All independent schools,Female,17163,50.5974,NA,A, ,NA,2021
202021,Academic year,National,E92000001,England,Final,All schools,All schools,Female,117932,43.3437,NA,B+, ,NA,2021
202021,Academic year,National,E92000001,England,Final,All institutions,All Institutions,Female,149730,42.5788,NA,B+, ,NA,2021
202021,Academic year,National,E92000001,England,Final,All state-funded schools,All state-funded schools,Female,100756,42.0083,NA,B+, ,NA,2021
202021,Academic year,National,E92000001,England,Final,All state-funded schools and colleges,All state-funded,Female,132601,41.4497,NA,B, ,NA,2021
202021,Academic year,National,E92000001,England,Final,Converter academies - mainstream,All state-funded schools,Female,69017,42.4325,NA,B+, ,NA,2021
202021,Academic year,National,E92000001,England,Final,Free schools,All state-funded schools,Female,1350,41.5583,NA,B, ,NA,2021
202021,Academic year,National,E92000001,England,Final,Free schools 16-19,All state-funded schools,Female,2321,42.863,NA,B+, ,NA,2021
202021,Academic year,National,E92000001,England,Final,Independent schools,All independent schools,Female,17155,50.5991,NA,A, ,NA,2021
202021,Academic year,National,E92000001,England,Final,Independent special schools,All independent schools,Female,8,40,NA,B, ,NA,2021
202021,Academic year,National,E92000001,England,Final,LA maintained mainstream schools,All state-funded schools,Female,17458,41.4635,NA,B, ,NA,2021
202021,Academic year,National,E92000001,England,Final,Other FE sector colleges,All FE sector colleges,Female,12461,37.9624,NA,B-, ,NA,2021
202021,Academic year,National,E92000001,England,Final,Sixth form colleges,All FE sector colleges,Female,19672,40.6235,NA,B, ,NA,2021
202021,Academic year,National,E92000001,England,Final,Sponsored academies - mainstream,All state-funded schools,Female,9865,39.6442,NA,B, ,NA,2021
202021,Academic year,National,E92000001,England,Final,Studio schools,All state-funded schools,Female,94,41.9888,NA,B+, ,NA,2021
202021,Academic year,National,E92000001,England,Final,University technical colleges (UTCs),All state-funded schools,Female,404,38.5149,NA,B, ,NA,2021
202021,Academic year,National,E92000001,England,Final,All FE sector colleges,All FE sector colleges,Male,22028,37.1654,NA,B-, ,NA,2021
202021,Academic year,National,E92000001,England,Final,All independent schools,All independent schools,Male,17459,48.191,NA,A-, ,NA,2021
202021,Academic year,National,E92000001,England,Final,All schools,All schools,Male,100066,41.2466,NA,B, ,NA,2021
202021,Academic year,National,E92000001,England,Final,All institutions,All Institutions,Male,121740,40.546,NA,B, ,NA,2021
202021,Academic year,National,E92000001,England,Final,All state-funded schools,All state-funded schools,Male,82587,39.7289,NA,B, ,NA,2021
202021,Academic year,National,E92000001,England,Final,All state-funded schools and colleges,All state-funded,Male,104326,39.2162,NA,B, ,NA,2021
202021,Academic year,National,E92000001,England,Final,Converter academies - mainstream,All state-funded schools,Male,56519,40.0159,NA,B, ,NA,2021
202021,Academic year,National,E92000001,England,Final,Free schools,All state-funded schools,Male,1278,39.9524,NA,B, ,NA,2021
202021,Academic year,National,E92000001,England,Final,Free schools 16-19,All state-funded schools,Male,1828,42.3069,NA,B+, ,NA,2021
202021,Academic year,National,E92000001,England,Final,Independent schools,All independent schools,Male,17422,48.2059,NA,A-, ,NA,2021
202021,Academic year,National,E92000001,England,Final,Independent special schools,All independent schools,Male,37,36.0833,NA,B-, ,NA,2021
202021,Academic year,National,E92000001,England,Final,LA maintained mainstream schools,All state-funded schools,Male,13869,39.6425,NA,B, ,NA,2021
202021,Academic year,National,E92000001,England,Final,Other FE sector colleges,All FE sector colleges,Male,7929,35.7209,NA,B-, ,NA,2021
202021,Academic year,National,E92000001,England,Final,Sixth form colleges,All FE sector colleges,Male,14099,37.9697,NA,B-, ,NA,2021
202021,Academic year,National,E92000001,England,Final,Sponsored academies - mainstream,All state-funded schools,Male,7896,37.2188,NA,B-, ,NA,2021
202021,Academic year,National,E92000001,England,Final,Studio schools,All state-funded schools,Male,161,35.6682,NA,B-, ,NA,2021
202021,Academic year,National,E92000001,England,Final,University technical colleges (UTCs),All state-funded schools,Male,857,34.8837,NA,C+, ,NA,2021
202021,Academic year,National,E92000001,England,Final,All FE sector colleges,All FE sector colleges,All students,54161,38.5994,NA,B, ,NA,2021
202021,Academic year,National,E92000001,England,Final,All independent schools,All independent schools,All students,34623,49.4038,NA,A, ,NA,2021
202021,Academic year,National,E92000001,England,Final,All schools,All schools,All students,217999,42.3779,NA,B+, ,NA,2021
202021,Academic year,National,E92000001,England,Final,All institutions,All Institutions,All students,271471,41.6626,NA,B, ,NA,2021
202021,Academic year,National,E92000001,England,Final,All state-funded schools,All state-funded schools,All students,183343,40.9747,NA,B, ,NA,2021
202021,Academic year,National,E92000001,England,Final,All state-funded schools and colleges,All state-funded,All students,236927,40.4587,NA,B, ,NA,2021
202021,Academic year,National,E92000001,England,Final,Converter academies - mainstream,All state-funded schools,All students,125536,41.3369,NA,B, ,NA,2021
202021,Academic year,National,E92000001,England,Final,Free schools,All state-funded schools,All students,2628,40.7731,NA,B, ,NA,2021
202021,Academic year,National,E92000001,England,Final,Free schools 16-19,All state-funded schools,All students,4149,42.6105,NA,B+, ,NA,2021
202021,Academic year,National,E92000001,England,Final,Independent schools,All independent schools,All students,34578,49.4127,NA,A, ,NA,2021
202021,Academic year,National,E92000001,England,Final,Independent special schools,All independent schools,All students,45,36.5441,NA,B-, ,NA,2021
202021,Academic year,National,E92000001,England,Final,LA maintained mainstream schools,All state-funded schools,All students,31327,40.6502,NA,B, ,NA,2021
202021,Academic year,National,E92000001,England,Final,Other FE sector colleges,All FE sector colleges,All students,20390,37.0849,NA,B-, ,NA,2021
202021,Academic year,National,E92000001,England,Final,Sixth form colleges,All FE sector colleges,All students,33771,39.5062,NA,B, ,NA,2021
202021,Academic year,National,E92000001,England,Final,Sponsored academies - mainstream,All state-funded schools,All students,17761,38.5624,NA,B, ,NA,2021
202021,Academic year,National,E92000001,England,Final,Studio schools,All state-funded schools,All students,255,37.9067,NA,B-, ,NA,2021
202021,Academic year,National,E92000001,England,Final,University technical colleges (UTCs),All state-funded schools,All students,1261,36.0379,NA,B-, ,NA,2021
201920,Academic year,National,E92000001,England,Final,All FE sector colleges,All FE sector colleges,Female,34303,37.5194,NA,B-, ,NA,2020
201920,Academic year,National,E92000001,England,Final,All independent schools,All independent schools,Female,17666,47.5223,NA,A-, ,NA,2020
201920,Academic year,National,E92000001,England,Final,All schools,All schools,Female,117107,41.073,NA,B, ,NA,2020
201920,Academic year,National,E92000001,England,Final,All institutions,All Institutions,Female,150650,40.3303,NA,B, ,NA,2020
201920,Academic year,National,E92000001,England,Final,All state-funded schools,All state-funded schools,Female,99423,39.8363,NA,B, ,NA,2020
201920,Academic year,National,E92000001,England,Final,All state-funded schools and colleges,All state-funded,Female,133074,39.2881,NA,B, ,NA,2020
201920,Academic year,National,E92000001,England,Final,Converter academies - mainstream,All state-funded schools,Female,67847,40.3158,NA,B, ,NA,2020
201920,Academic year,National,E92000001,England,Final,Free schools,All state-funded schools,Female,984,38.3253,NA,B-, ,NA,2020
201920,Academic year,National,E92000001,England,Final,Free schools 16-19,All state-funded schools,Female,1827,41.5532,NA,B, ,NA,2020
201920,Academic year,National,E92000001,England,Final,Independent schools,All independent schools,Female,17659,47.5233,NA,A-, ,NA,2020
201920,Academic year,National,E92000001,England,Final,Independent special schools,All independent schools,Female,7,42.7273,NA,B+, ,NA,2020
201920,Academic year,National,E92000001,England,Final,LA maintained mainstream schools,All state-funded schools,Female,17831,39.4159,NA,B, ,NA,2020
201920,Academic year,National,E92000001,England,Final,Other FE sector colleges,All FE sector colleges,Female,14221,34.9022,NA,C+, ,NA,2020
