year,time_period,school_type,school_type_group,characteristic_gender,number_of_students,aps,aps_grade,version,cert_type
2019,201819,Independent special schools,Independent schools,Male,46,24.4366,D+,Provisional,Alevel
2019,201819,LA maintained mainstream schools,State-funded schools,Male,17182,31.3349,C,Provisional,Alevel
2019,201819,Other FE sector colleges,FE sector colleges,Male,9984,26.9613,C-,Provisional,Alevel
2019,201819,Sixth form colleges,FE sector colleges,Male,17417,32.7285,C+,Provisional,Alevel
2019,201819,Sponsored academies - mainstream,State-funded schools,Male,9302,27.0743,C-,Provisional,Alevel
2019,201819,Studio schools,State-funded schools,Male,217,25.0815,C-,Provisional,Alevel
2019,201819,University Technical Colleges (UTCs),State-funded schools,Male,933,22.2753,D+,Provisional,Alevel
2018,201718,All FE sector colleges,FE sector colleges,All students,76552,31.13,C,Revised,Alevel
2018,201718,All independent schools,Independent schools,All students,36532,41.31,B,Revised,Alevel
2018,201718,All schools,All schools,All students,232035,33.87,C+,Revised,Alevel
2018,201718,All schools and FE sector colleges,All Institutions,All students,299420,33.33,C+,Revised,Alevel
2018,201718,All state-funded schools,State-funded schools,All students,195454,32.35,C+,Revised,Alevel
2018,201718,All state-funded schools and colleges,All state-funded,All students,263436,32.12,C+,Revised,Alevel
2018,201718,Converter academies - mainstream,State-funded schools,All students,125956,33.31,C+,Revised,Alevel
2018,201718,Free schools,State-funded schools,All students,1094,29.57,C,Revised,Alevel
2018,201718,Free schools 16-19,State-funded schools,All students,1746,36.53,B-,Revised,Alevel
2018,201718,Independent schools,Independent schools,All students,36470,41.32,B,Revised,Alevel
2018,201718,Independent special schools,Independent schools,All students,62,26.21,C-,Revised,Alevel
2018,201718,LA maintained mainstream schools,State-funded schools,All students,44273,31.46,C,Revised,Alevel
2018,201718,Other FE sector colleges,FE sector colleges,All students,26517,28.06,C-,Revised,Alevel
2018,201718,Sixth form colleges,FE sector colleges,All students,50035,32.68,C+,Revised,Alevel
2018,201718,Sponsored academies - mainstream,State-funded schools,All students,20082,27.76,C-,Revised,Alevel
2018,201718,Studio schools,State-funded schools,All students,366,21.61,D,Revised,Alevel
2018,201718,University technical colleges (UTCs),State-funded schools,All students,1501,20.19,D,Revised,Alevel
2018,201718,All FE sector colleges,FE sector colleges,Female,43932,31.91,C+,Revised,Alevel
2018,201718,All independent schools,Independent schools,Female,18179,42.15,B+,Revised,Alevel
2018,201718,All schools,All schools,Female,123668,34.51,C+,Revised,Alevel
2018,201718,All schools and FE sector colleges,All Institutions,Female,162983,33.96,C+,Revised,Alevel
2018,201718,All state-funded schools,State-funded schools,Female,105464,33.08,C+,Revised,Alevel
